trait	trait_uri	studies	association_counts	papers	Olga's comments
microscopic colitis	http://www.ebi.ac.uk/efo/EFO_1001295	1	24	1	
rheumatoid arthritis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0000384	1	24	1	
SAPHO syndrome	http://www.ebi.ac.uk/efo/EFO_1001164	1	24	1	
asphyxia neonatorum	http://www.ebi.ac.uk/efo/EFO_1000824	1	23	1	
response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	1	23	1	
progression free survival, ovarian serous carcinoma	http://www.ebi.ac.uk/efo/EFO_0004920, http://www.ebi.ac.uk/efo/EFO_1001516	1	23	1	
bulimia nervosa	http://www.ebi.ac.uk/efo/EFO_0005204	1	23	1	
cervical cancer	http://purl.obolibrary.org/obo/MONDO_0002974	1	22	1	
mammographic density percentage	http://www.ebi.ac.uk/efo/EFO_0006502	1	22	1	
hypertension, chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000537, http://www.ebi.ac.uk/efo/EFO_0000341	1	22	1	
major depressive episode, major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0007634, http://purl.obolibrary.org/obo/MONDO_0002009	1	22	1	
hypertension, COVID-19	http://www.ebi.ac.uk/efo/EFO_0000537, http://purl.obolibrary.org/obo/MONDO_0100096	1	21	1	
resting heart rate, chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0004351, http://www.ebi.ac.uk/efo/EFO_0000341	1	21	1	
asthma, seasonal allergic rhinitis	http://purl.obolibrary.org/obo/MONDO_0004979, http://www.ebi.ac.uk/efo/EFO_0003956	1	21	1	
glomerular filtration rate, response to platinum based chemotherapy	http://www.ebi.ac.uk/efo/EFO_0005208, http://www.ebi.ac.uk/efo/EFO_0004647	1	21	1	
Hodgkins lymphoma, multiple myeloma, chronic lymphocytic leukemia	http://www.ebi.ac.uk/efo/EFO_0000183, http://www.ebi.ac.uk/efo/EFO_0001378, http://www.ebi.ac.uk/efo/EFO_0000095	1	20	1	
ototoxicity, response to cisplatin	http://www.ebi.ac.uk/efo/EFO_0006951, http://purl.obolibrary.org/obo/GO_0072718	1	20	1	
revision of total knee arthroplasty	http://www.ebi.ac.uk/efo/EFO_0020972	1	20	1	
migraine disorder, diastolic blood pressure	http://purl.obolibrary.org/obo/MONDO_0005277, http://www.ebi.ac.uk/efo/EFO_0006336	1	20	1	
age at onset, glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0000519	1	20	1	
digestive system infectious disorder	http://purl.obolibrary.org/obo/MONDO_0043424	1	20	1	
systemic scleroderma, obsolete_systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0000717, http://www.ebi.ac.uk/efo/EFO_0002690	1	20	1	
revision of total joint arthroplasty	http://www.ebi.ac.uk/efo/EFO_0020974	1	20	1	
response to norepinephrine-dopamine reuptake inhibitor	http://www.ebi.ac.uk/efo/EFO_0007870	1	19	1	
progression free survival, ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0004920, http://www.ebi.ac.uk/efo/EFO_0001075	1	19	1	
BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	1	19	1	
colorectal cancer, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0000305	1	18	1	
QRS duration, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0007922	1	18	1	
preterm premature rupture of the membranes, spontaneous preterm birth	http://purl.obolibrary.org/obo/MONDO_0012511, http://www.ebi.ac.uk/efo/EFO_0006917	1	18	1	
prostate carcinoma, breast carcinoma, ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001663, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0001075	1	18	1	
Alzheimer disease, obsolete_posterior cortical atrophy	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.orpha.net/ORDO/Orphanet_54247	1	18	1	
Graves disease, obsolete_thyrotoxic periodic paralysis	http://www.ebi.ac.uk/efo/EFO_0004237, http://www.orpha.net/ORDO/Orphanet_79102	1	18	1	
peripheral neuropathy, response to antimicrotubule agent	http://www.ebi.ac.uk/efo/EFO_0003100, http://www.ebi.ac.uk/efo/EFO_0005260	1	18	1	
QRS complex, QRS duration, electrocardiography, PR interval, heart rate, QT interval	http://www.ebi.ac.uk/efo/EFO_0005054, http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0004327, http://www.ebi.ac.uk/efo/EFO_0004462, http://www.ebi.ac.uk/efo/EFO_0004326, http://www.ebi.ac.uk/efo/EFO_0004682	1	18	1	
lean mass-adjusted fat body mass, femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0009890, http://www.ebi.ac.uk/efo/EFO_0007785	1	18	1	
disease free survival, rectum cancer, overall survival	http://www.ebi.ac.uk/efo/EFO_0000409, http://www.ebi.ac.uk/efo/EFO_1000657, http://www.ebi.ac.uk/efo/EFO_0000638	1	18	1	
colorectal cancer, overall survival	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0000638	1	17	1	
pancreas volume	http://www.ebi.ac.uk/efo/EFO_0600045	1	17	1	
systemic mastocytosis	http://purl.obolibrary.org/obo/MONDO_0016586	1	17	1	
colorectal cancer, polyp of large intestine	http://www.ebi.ac.uk/efo/EFO_0005842, http://purl.obolibrary.org/obo/MONDO_0021392	1	17	1	
obsolete_orofacial clefting syndrome	http://www.orpha.net/ORDO/Orphanet_139039	1	17	1	
large artery stroke, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0005524, http://www.ebi.ac.uk/efo/EFO_0001645	1	17	1	
Uterine leiomyoma, estrogen-receptor positive breast cancer	http://purl.obolibrary.org/obo/HP_0000131, http://www.ebi.ac.uk/efo/EFO_1000649	1	17	1	
colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0009361	1	17	1	
response to corticosteroid, age at assessment	http://purl.obolibrary.org/obo/GO_0031960, http://www.ebi.ac.uk/efo/EFO_0008007	1	17	1	
migraine disorder, systolic blood pressure	http://purl.obolibrary.org/obo/MONDO_0005277, http://www.ebi.ac.uk/efo/EFO_0006335	1	16	1	
response to radiation, Hematuria	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0000790	1	16	1	
temperament and character inventory	http://www.ebi.ac.uk/efo/EFO_0004825	1	16	1	
Postural instability	http://purl.obolibrary.org/obo/HP_0002172	1	16	1	
attention deficit hyperactivity disorder, Cannabis use	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007585	1	16	1	
neuroblastoma, cutaneous melanoma	http://www.ebi.ac.uk/efo/EFO_0000621, http://www.ebi.ac.uk/efo/EFO_0000389	1	16	1	
sensory perception of taste, functional laterality, hair morphology, circadian rhythm, personality, braces, sensory perception of smell, Attached earlobe, Astigmatism, Sneeze	http://purl.obolibrary.org/obo/GO_0050909, http://www.ebi.ac.uk/efo/EFO_0003889, http://www.ebi.ac.uk/efo/EFO_0005038, http://www.ebi.ac.uk/efo/EFO_0004354, http://www.ebi.ac.uk/efo/EFO_0003947, http://www.ebi.ac.uk/efo/EFO_0004291, http://purl.obolibrary.org/obo/GO_0007608, http://purl.obolibrary.org/obo/HP_0009907, http://purl.obolibrary.org/obo/HP_0000483, http://purl.obolibrary.org/obo/HP_0025095	1	16	1	
Nystagmus	http://purl.obolibrary.org/obo/HP_0000639	1	16	1	
rheumatoid arthritis, ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0000729	1	15	1	
parental emotion expression measurmement, conduct disorder	http://www.ebi.ac.uk/efo/EFO_0008342, http://www.ebi.ac.uk/efo/EFO_0004216	1	15	1	
response to quetiapine	http://purl.obolibrary.org/obo/GO_0097335	1	15	1	
antiphospholipid syndrome	http://www.ebi.ac.uk/efo/EFO_0002689	1	15	1	
pseudotumor cerebri	http://www.ebi.ac.uk/efo/EFO_1001132	1	15	1	
infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	1	15	1	
Obsessive-compulsive trait	http://purl.obolibrary.org/obo/HP_0008770	1	15	1	
Cannabis use initiation	http://www.ebi.ac.uk/efo/EFO_0007586	1	14	1	
cutaneous Leishmaniasis	http://www.ebi.ac.uk/efo/EFO_0005046	1	14	1	
Hematochezia, response to radiation	http://purl.obolibrary.org/obo/HP_0002573, http://purl.obolibrary.org/obo/GO_0009314	1	14	1	
JT interval, response to sulfonylurea	http://www.ebi.ac.uk/efo/EFO_0007885, http://www.ebi.ac.uk/efo/EFO_0007922	1	14	1	
Central precocious puberty	http://www.ebi.ac.uk/efo/EFO_0009029	1	14	1	
stroke, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0000712, http://www.ebi.ac.uk/efo/EFO_0001645	1	14	1	
disease free survival, response to mepolizumab	http://www.ebi.ac.uk/efo/EFO_0000409, http://www.ebi.ac.uk/efo/EFO_0008459	1	14	1	
body mass index, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0004340, http://purl.obolibrary.org/obo/MONDO_0005148	1	14	1	
response to cyclophosphamide	http://purl.obolibrary.org/obo/GO_1902518	1	14	1	
response to methotrexate, neurotoxicity	http://purl.obolibrary.org/obo/GO_0031427, http://www.ebi.ac.uk/efo/EFO_0011057	1	14	1	
response to bronchodilator, vital capacity	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004312	1	14	1	
hip bone mineral density, fat body mass	http://www.ebi.ac.uk/efo/EFO_0007702, http://www.ebi.ac.uk/efo/EFO_0005409	1	14	1	
heart failure, obsolete_cancer, diabetes mellitus, stroke, atrial fibrillation, mortality, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0003144, http://www.ebi.ac.uk/efo/EFO_0000311, http://www.ebi.ac.uk/efo/EFO_0000400, http://www.ebi.ac.uk/efo/EFO_0000712, http://www.ebi.ac.uk/efo/EFO_0000275, http://www.ebi.ac.uk/efo/EFO_0004352, http://www.ebi.ac.uk/efo/EFO_0001645	1	14	1	
serine:glycine ratio	http://www.ebi.ac.uk/efo/EFO_0021777	1	14	1	
response to supplemental oxygen	http://www.ebi.ac.uk/efo/EFO_0009796	1	14	1	
Uterine leiomyoma, estrogen-receptor negative breast cancer	http://purl.obolibrary.org/obo/HP_0000131, http://www.ebi.ac.uk/efo/EFO_1000650	1	14	1	
metabolically healthy obesity	http://www.ebi.ac.uk/efo/EFO_0009382	1	14	1	
diastolic blood pressure, body mass index	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004340	1	13	1	
stroke, major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0000712, http://purl.obolibrary.org/obo/MONDO_0002009	1	13	1	
survival time, estrogen-receptor positive breast cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649	1	13	1	
blood pressure, response to high sodium diet, response to dietary potassium supplementation	http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0005401, http://www.ebi.ac.uk/efo/EFO_0005403	1	13	1	
event free survival time, urinary bladder cancer	http://www.ebi.ac.uk/efo/EFO_0000482, http://purl.obolibrary.org/obo/MONDO_0001187	1	13	1	
obsolete_anorectal malformation	http://www.orpha.net/ORDO/Orphanet_96346	1	13	1	
Ischemic stroke, venous thromboembolism, stroke, Abnormal thrombosis, deep vein thrombosis, pulmonary embolism	http://purl.obolibrary.org/obo/HP_0002140, http://www.ebi.ac.uk/efo/EFO_0004286, http://www.ebi.ac.uk/efo/EFO_0000712, http://purl.obolibrary.org/obo/HP_0001977, http://www.ebi.ac.uk/efo/EFO_0003907, http://www.ebi.ac.uk/efo/EFO_0003827	1	13	1	
sensory peripheral neuropathy, remission	http://purl.obolibrary.org/obo/MONDO_0002321, http://www.ebi.ac.uk/efo/EFO_0009785	1	13	1	
bullous pemphigoid	http://www.ebi.ac.uk/efo/EFO_0007187	1	13	1	
Child Behaviour Checklist assessment	http://www.ebi.ac.uk/efo/EFO_0005661	1	13	1	
response to mitochondrial complex I inhibitor	http://www.ebi.ac.uk/efo/EFO_0600033	1	13	1	other
hepcidin:transferrin saturation ratio	http://www.ebi.ac.uk/efo/EFO_0007902	1	13	1	
decreased susceptibility to hepatitis C infection	http://www.ebi.ac.uk/efo/EFO_0010101	1	13	1	
obsolete_hemifacial microsomia	http://www.orpha.net/ORDO/Orphanet_141136	1	13	1	
cumulative dose response to bevacizumab	http://www.ebi.ac.uk/efo/EFO_0005944	1	13	1	
Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	1	13	1	
Tourette syndrome, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0005090	1	13	1	
central nervous system cancer, glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000326, http://www.ebi.ac.uk/efo/EFO_0000519	1	13	1	
response to antiviral drug, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0010123, http://www.ebi.ac.uk/efo/EFO_0001422	1	13	1	
response to sulfonylurea, QT interval	http://www.ebi.ac.uk/efo/EFO_0007922, http://www.ebi.ac.uk/efo/EFO_0004682	1	12	1	
response to benznidazole	http://www.ebi.ac.uk/efo/EFO_0600031	1	12	1	
liver volume	http://www.ebi.ac.uk/efo/EFO_0600048	1	12	1	
age at diagnosis, substance-related disorder	http://www.ebi.ac.uk/efo/EFO_0004918, http://purl.obolibrary.org/obo/MONDO_0002494	1	12	1	
disease free survival, colonic neoplasm, overall survival	http://www.ebi.ac.uk/efo/EFO_0000409, http://www.ebi.ac.uk/efo/EFO_0004288, http://www.ebi.ac.uk/efo/EFO_0000638	1	12	1	
response to radiation, Urinary retention	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0000016	1	12	1	
response to aspirin	http://purl.obolibrary.org/obo/GO_1903492	1	12	1	
response to antineoplastic agent, response to antimicrotubule agent	http://purl.obolibrary.org/obo/GO_0097327, http://www.ebi.ac.uk/efo/EFO_0005260	1	12	1	
leukocyte count, erythrocyte count, mean corpuscular volume, mean corpuscular hemoglobin, platelet count	http://www.ebi.ac.uk/efo/EFO_0004308, http://www.ebi.ac.uk/efo/EFO_0004305, http://www.ebi.ac.uk/efo/EFO_0004526, http://www.ebi.ac.uk/efo/EFO_0004527, http://www.ebi.ac.uk/efo/EFO_0004309	1	12	1	
Rolandic epilepsy	http://www.orpha.net/ORDO/Orphanet_1945	1	12	1	
acute lymphoblastic leukemia, response to antineoplastic agent	http://www.ebi.ac.uk/efo/EFO_0000220, http://purl.obolibrary.org/obo/GO_0097327	1	12	1	
shigellosis	http://www.ebi.ac.uk/efo/EFO_0005585	1	12	1	
response to beta blocker, mortality	http://www.ebi.ac.uk/efo/EFO_0007766, http://www.ebi.ac.uk/efo/EFO_0004352	1	12	1	
peripheral neuropathy, response to docetaxel	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519	1	12	1	
kidney volume	http://www.ebi.ac.uk/efo/EFO_0600044	1	12	1	
Stevens-Johnson syndrome, toxic epidermal necrolysis, response to methazolamide	http://www.ebi.ac.uk/efo/EFO_0004276, http://www.ebi.ac.uk/efo/EFO_0004775, http://www.ebi.ac.uk/efo/EFO_0020996	1	12	1	
nervousness	http://purl.obolibrary.org/obo/NCIT_C74532	1	12	1	
erythrocyte count, mean corpuscular hemoglobin concentration, mean corpuscular volume, mean corpuscular hemoglobin	http://www.ebi.ac.uk/efo/EFO_0004305, http://www.ebi.ac.uk/efo/EFO_0004528, http://www.ebi.ac.uk/efo/EFO_0004526, http://www.ebi.ac.uk/efo/EFO_0004527	1	12	1	
drug-Induced dyskinesia, response to levodopa	http://www.ebi.ac.uk/efo/EFO_1000904, http://www.ebi.ac.uk/efo/EFO_0010747	1	12	1	
response to varenicline, Nausea	http://www.ebi.ac.uk/efo/EFO_0600052, http://purl.obolibrary.org/obo/HP_0002018	1	11	1	
Alzheimer disease, psychotic symptoms	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0005940	1	11	1	
body fat percentage, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0007800, http://purl.obolibrary.org/obo/MONDO_0005148	1	11	1	
prion disease	http://www.ebi.ac.uk/efo/EFO_0004720	1	11	1	
coronary thrombosis, GM11992	http://www.ebi.ac.uk/efo/EFO_1000883, http://www.ebi.ac.uk/efo/EFO_0001124	1	11	1	
response to phenylephrine	http://www.ebi.ac.uk/efo/EFO_0010152	1	11	1	
Yu-Zhi constitution type	http://www.ebi.ac.uk/efo/EFO_0007638	1	11	1	
blood pressure, response to high sodium diet	http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0005401	1	11	1	
autoimmune thyroid disease, type 1 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0006812, http://purl.obolibrary.org/obo/MONDO_0005147	1	11	1	
revision of total joint arthroplasty, aseptic loosening	http://www.ebi.ac.uk/efo/EFO_0020974, http://www.ebi.ac.uk/efo/EFO_0010725	1	11	1	
chronic obstructive pulmonary disease, chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0006505	1	11	1	
colorectal cancer, inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0003767	1	11	1	
pulmonary non-tuberculous mycobacterial infection	http://purl.obolibrary.org/obo/MONDO_0018469	1	11	1	
Intrahepatic cholestasis of pregnancy	http://www.ebi.ac.uk/efo/EFO_0009048	1	11	1	
MMR-related febrile seizures	http://www.ebi.ac.uk/efo/EFO_0006519	1	10	1	
AL amyloidosis	http://purl.obolibrary.org/obo/MONDO_0019438	1	10	1	
Genetic chronic primary adrenal insufficiency	http://www.orpha.net/ORDO/Orphanet_101960	1	10	1	
overall survival, ovarian carcinoma, response to cisplatin, response to paclitaxel	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0001075, http://purl.obolibrary.org/obo/GO_0072718, http://purl.obolibrary.org/obo/GO_1901555	1	10	1	
Tinnitus, response to cisplatin	http://purl.obolibrary.org/obo/HP_0000360, http://purl.obolibrary.org/obo/GO_0072718	1	10	1	
Drug-induced agranulocytosis	http://purl.obolibrary.org/obo/HP_0012235	1	10	1	
vision disorder	http://purl.obolibrary.org/obo/MONDO_0021084	1	10	1	
eating disorder, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0005203, http://www.ebi.ac.uk/efo/EFO_0000289	1	10	1	
asthma, unipolar depression	http://purl.obolibrary.org/obo/MONDO_0004979, http://www.ebi.ac.uk/efo/EFO_0003761	1	10	1	
COVID-19, coronary artery disease	http://purl.obolibrary.org/obo/MONDO_0100096, http://www.ebi.ac.uk/efo/EFO_0001645	1	10	1	
kidney cancer	http://purl.obolibrary.org/obo/MONDO_0002367	1	10	1	
illegal drug consumption	http://www.ebi.ac.uk/efo/EFO_0005431	1	10	1	
esophageal adenocarcinoma, digestive system disease, Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000478, http://www.ebi.ac.uk/efo/EFO_0000405, http://www.ebi.ac.uk/efo/EFO_0000280	1	10	1	
esophageal squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0005922	1	10	1	
Modic type vertebral endplate changes	http://purl.obolibrary.org/obo/HP_0030775	1	10	1	
blood pressure, response to low sodium diet	http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0005402	1	10	1	
Schizoaffective disorder-bipolar type	http://www.ebi.ac.uk/efo/EFO_0009965	1	10	1	
asthma, body mass index	http://purl.obolibrary.org/obo/MONDO_0004979, http://www.ebi.ac.uk/efo/EFO_0004340	1	10	1	
Vitiligo, response to rhododendrol	http://www.ebi.ac.uk/efo/EFO_0004208, http://www.ebi.ac.uk/efo/EFO_0010824	1	10	1	
response to antiviral drug	http://www.ebi.ac.uk/efo/EFO_0010123	1	10	1	
age at menopause, aging, exercise test, age at death	http://www.ebi.ac.uk/efo/EFO_0004704, http://purl.obolibrary.org/obo/GO_0007568, http://www.ebi.ac.uk/efo/EFO_0004328, http://www.ebi.ac.uk/efo/EFO_0005056	1	10	1	
amenorrhea, response to antineoplastic agent	http://www.ebi.ac.uk/efo/EFO_0010269, http://purl.obolibrary.org/obo/GO_0097327	1	10	1	
response to carboplatin, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_0097328, http://purl.obolibrary.org/obo/GO_0097327	1	9	1	
attention deficit hyperactivity disorder, unipolar depression	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003761	1	9	1	
age at menarche, spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0004703, http://www.ebi.ac.uk/efo/EFO_0007701	1	9	1	
Alzheimer disease, visuospatial impairment	http://purl.obolibrary.org/obo/MONDO_0004975, http://www.ebi.ac.uk/efo/EFO_0009752	1	9	1	
response to erlotinib	http://www.ebi.ac.uk/efo/EFO_0007868	1	9	1	
amyloid plaque accumulation rate	http://www.ebi.ac.uk/efo/EFO_0007646	1	9	1	
high altitude adaptation	http://www.ebi.ac.uk/efo/EFO_0009105	1	9	1	
cognition, aging	http://www.ebi.ac.uk/efo/EFO_0003925, http://purl.obolibrary.org/obo/GO_0007568	1	9	1	
revision of total hip arthroplasty	http://www.ebi.ac.uk/efo/EFO_0020973	1	9	1	
Immature Reticulocyte Fraction Measurement	http://www.ebi.ac.uk/efo/EFO_0009253	1	9	1	
Abruptio Placentae	http://www.ebi.ac.uk/efo/EFO_1001754	1	9	1	
response to ziprasidone	http://purl.obolibrary.org/obo/GO_0097337	1	9	1	
chronic kidney disease, Proteinuria	http://www.ebi.ac.uk/efo/EFO_0003884, http://purl.obolibrary.org/obo/HP_0000093	1	9	1	
urticaria, response to non-steroidal anti-inflammatory, angioedema	http://www.ebi.ac.uk/efo/EFO_0005531, http://www.ebi.ac.uk/efo/EFO_0005533, http://www.ebi.ac.uk/efo/EFO_0005532	1	9	1	
papillary thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000641	1	9	1	
breastfeeding duration	http://www.ebi.ac.uk/efo/EFO_0006864	1	9	1	
osteosarcoma, overall survival	http://www.ebi.ac.uk/efo/EFO_0000637, http://www.ebi.ac.uk/efo/EFO_0000638	1	9	1	
rotator cuff tear, shoulder impingement syndrome	http://www.ebi.ac.uk/efo/EFO_1001250, http://www.ebi.ac.uk/efo/EFO_1001178	1	9	1	
rheumatoid arthritis, obsolete_systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0002690	1	9	1	
Alzheimer disease, Cognitive impairment	http://purl.obolibrary.org/obo/MONDO_0004975, http://purl.obolibrary.org/obo/HP_0100543	1	9	1	Mental 
response to atorvastatin, myopathy	http://www.ebi.ac.uk/efo/EFO_0010124, http://www.ebi.ac.uk/efo/EFO_0004145	1	9	1	
response to paclitaxel, response to antineoplastic agent	http://purl.obolibrary.org/obo/GO_1901555, http://purl.obolibrary.org/obo/GO_0097327	1	8	1	
ossification of the posterior longitudinal ligament of the spine	http://www.ebi.ac.uk/efo/EFO_0005895	1	8	1	
hip bone mineral density, age at menarche	http://www.ebi.ac.uk/efo/EFO_0007702, http://www.ebi.ac.uk/efo/EFO_0004703	1	8	1	
response to cyclophosphamide, chemotherapy-induced alopecia, response to 5' fluorouracil, response to doxorubicin	http://purl.obolibrary.org/obo/GO_1902518, http://www.ebi.ac.uk/efo/EFO_0005400, http://purl.obolibrary.org/obo/GO_0036275, http://purl.obolibrary.org/obo/GO_1902520	1	8	1	
BMI-adjusted waist-hip ratio, asthma	http://www.ebi.ac.uk/efo/EFO_0007788, http://purl.obolibrary.org/obo/MONDO_0004979	1	8	1	
severe aplastic anemia	http://www.ebi.ac.uk/efo/EFO_0006927	1	8	1	
diabetic maculopathy	http://www.ebi.ac.uk/efo/EFO_0010133	1	8	1	
Machado-Joseph disease, age at onset	http://purl.obolibrary.org/obo/MONDO_0007182, http://www.ebi.ac.uk/efo/EFO_0004847	1	8	1	
Candidemia	http://www.ebi.ac.uk/efo/EFO_1001282	1	8	1	
age of onset of multiple sclerosis	http://purl.obolibrary.org/obo/OBA_2001029	1	8	1	
adult onset asthma, body mass index	http://www.ebi.ac.uk/efo/EFO_1002011, http://www.ebi.ac.uk/efo/EFO_0004340	1	8	1	
endometrial carcinoma, endometriosis	http://www.ebi.ac.uk/efo/EFO_1001512, http://www.ebi.ac.uk/efo/EFO_0001065	1	8	1	
tropical spastic paraparesis	http://www.ebi.ac.uk/efo/EFO_0007527	1	8	1	
peptic ulcer disease	http://purl.obolibrary.org/obo/MONDO_0004247	1	8	1	
response to vitamin	http://purl.obolibrary.org/obo/GO_0033273	1	8	1	
survival time, lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000571	1	8	1	
lobe size	http://www.ebi.ac.uk/efo/EFO_0007666	1	8	1	
cryptococcosis	http://www.ebi.ac.uk/efo/EFO_0007229	1	8	1	
waist-hip ratio, body mass index	http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	1	8	1	
omega-6:omega-3 polyunsaturated fatty acid ratio	http://www.ebi.ac.uk/efo/EFO_0010732	1	8	1	
skin disease, response to cetuximab	http://www.ebi.ac.uk/efo/EFO_0000701, http://www.ebi.ac.uk/efo/EFO_0007682	1	8	1	
specific language impairment, dyslexia	http://www.ebi.ac.uk/efo/EFO_1001510, http://www.ebi.ac.uk/efo/EFO_0005424	1	8	1	
progression free survival, urinary bladder cancer	http://www.ebi.ac.uk/efo/EFO_0004920, http://purl.obolibrary.org/obo/MONDO_0001187	1	8	1	
diastolic blood pressure, systolic blood pressure, bone density, heart rate, waist-hip ratio, body mass index	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0003923, http://www.ebi.ac.uk/efo/EFO_0004326, http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	1	8	1	
response to drug, epilepsy	http://purl.obolibrary.org/obo/GO_0042493, http://www.ebi.ac.uk/efo/EFO_0000474	1	7	1	
response to biological dust exposure, response to gases and fumes exposure, forced expiratory volume, response to mineral dust exposure	http://www.ebi.ac.uk/efo/EFO_0006992, http://www.ebi.ac.uk/efo/EFO_0006994, http://www.ebi.ac.uk/efo/EFO_0004314, http://www.ebi.ac.uk/efo/EFO_0006993	1	7	1	
macrovascular complications of diabetes	http://www.ebi.ac.uk/efo/EFO_0010977	1	7	1	
clonal hematopoiesis	http://www.ebi.ac.uk/efo/EFO_0010819	1	7	1	
Mitral valve prolapse, response to surgery	http://purl.obolibrary.org/obo/HP_0001634, http://www.ebi.ac.uk/efo/EFO_0009951	1	7	1	
attention deficit hyperactivity disorder, asthma	http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004979	1	7	1	
post-operative sensory disturbance	http://www.ebi.ac.uk/efo/EFO_0005324	1	7	1	
Nephroblastoma	http://www.orpha.net/ORDO/Orphanet_654	1	7	1	
endometrial endometrioid carcinoma	http://www.ebi.ac.uk/efo/EFO_1001514	1	7	1	
